cucinare,cook
pulire,clean
fare il bucato,do the laundry
fare la spesa,do the shopping
lavare i piatti,dothe dishes
asciugare i piatti,dry the dishes
stendere i panni,hang out the washing
stirare,iron / do the ironing
fare il letto,make the bed
apparecchiare la tavola,set the table
sparecchiare la tavola,clear the table
portare fuori la spazzatura,take out the rubbish
riordinare,tidy up
passare l'aspirapolvere,vacuum
portare il cane a spasso,walk the dog
annaffiare le piante,water the plants
cambiare le lenzuola,change the sheets
spolverare,dust / do the dusting
caricare la lavastoviglie,load the dishwasher
scaricare la lavastoviglie,unload the dishwasher
lavare il pavimento,mop the floor
tagliare il prato,mow the lawn
lucidare lo specchio,polish the mirror
spazzare il pavimento,sweep the floor
secchio della spazzatura,bin
scopa,brush
forchetta,fork
ferro da stiro,iron
coltello,knife
cucchiaio,spoon
posate,cutlery
asse da stiro,ironing board
tagliaerba,lawnmower
spazzolone,mop
annaffiatoio,watering can
aspirapolvere,vacuum cleaner
