impaurito,afraid
arrabbiato,angry
allegro,cheerful
confuso,confused
deluso,disappointed
imbarazzato,embarrassed
entusiasta,enthusiastic
emozionato,excited
impaurito,frightened
felice,happy
geloso,geloso
nervoso,nervous
compiaciuto,pleased
scioccato,shocked
stressato,stressed
sorpreso,surprised
triste,upset
preoccupato,worried
affettuoso,affectionate
aggressivo,aggressive
scocciato,annoyed
vergognoso,ashamed
meravigliato,astonished
inopportuno,awkward
amareggiato,bitter
felicissimo,delighted
depresso,depressed
disgustato,disgusted
disilluso,disillusioned
esausto,exhausted
infelice,miserable
lunatico,moody
offeso,offended
sollevato,relieved
rabbia,anger
allegria,cheerfulness
confusione,confusion
delusione,disappointment
imbarazzo,embarrassment
entusiasmo,enthusiasm
eccitazione,excitement
paura,fear
felicità,happiness
gelosia,jealousy
piacere,pleasure
sorpresa,surprise
sconvolgimento,upset
preoccupazione,worry
