melanzana,aubergine
avocado,avocado
barbabietola,beetroot
broccoli,broccoli
cavolo,cabbage
cavolfiore,cauliflower
sedano,celery
ciliegia,cherry
cocco,coconut
zucchina,courgette
cetriolo,cucumber
finocchio,fennel
aglio,garlic
pompelmo,grapefruit
uva,grapes
lattuga,lettuce
funghi,mushrooms
pesca,peach
pera,pear
piselli,peas
peperone,pepper
ananas,pineapple
patata,potato
lamponi,raspberries
zucca,squash
fragole,strawberries
pomodoro,tomato
anguria,watermelon
fagioli,beans
bistecca di manzo,beef steak
pollo,chicken
ceci,chickpeas
uova,eggs
prosciutto,ham
agnello,lamb
lenticchie,lentils
arachidi,peanuts
maiale,pork
salmone,salmon
salsiccia,sausage
frutti di mare,seafood
sogliola,sole
tacchino,turkey
vitello,veal
cereale,cereal
farina,flour
pasta,pasta
riso,rice
biscotto,biscuit
torta,cake
formaggio,cheese
formaggio spalmabile,cream cheese
patatine fritte,chips / fries
panna,cream
cioccolato fondente,dark chocolate
miele,honey
confettura,jam
pasticcino,pastry
latte parzialmente scremato,semi-skimmed milk
latte,milk
yogurt,yoghurt
amaro,bitter
croccante,crunchy
delizioso,delicious
disgustoso,disgusting
fresco,fresh
piccante,spicy
succoso,juicy
crudo,raw
maturo,ripe
salato,salty
dolce,sweet
gustoso,tasty
tenero,tender
duro,tough
birra,beer
succo,juice
bibita,soft drink
acqua frizzante,sparkling
acqua naturale,still water
vino,wine
