panificio,baker's
libreria,bookshop
macelleria,butcher's
farmacia,chemist's
lavanderia,dry cleaner's
negozio di abbigliamento,clothes shop
grande magazzino,department store
pescheria,fishmonger's
negozio di fiori,florist's
centro per il giardinaggio,garden centre
negozio di articoli da regalo,gift shop
negozio di frutta e verdura,greengrocer's
parrucchiere,hairdresser's
gioielleria,jeweller's
edicola,newsagent's
ottico,optician's
centro commerciale,shopping centre
luoghi di interesse,attractions
banca,bank
panchina,bench
bowling,bowling alley
parcheggio,car park
castello,castle
cattedrale,cathedral
chiesa,church
sala per concerti,concert hall
fabbrica,factory
fontana,fountain
ambulatorio medico,health centre
centro sportivo,leisure centre
biblioteca,library
cestino dei rifiuti,litter bin
mercato,market
moschea,mosque
complesso di uffici,office block
parchimetro,parking meter
marciapiede,pavement
parco giochi,playground
stazione della polizia,police station
ufficio postale,post office
piazza,square
stadio,stadium
statua,statue
municipio,town hall
stazione ferroviaria,train station
monolocale,bedsit
condominio,block of flats
casa ad un piano,bungalow
casolare,cottage
villetta indipendente,detached house
fattoria,farm
appartamento,flat
casa di campagna,ranch house
villetta bifamiliare,semi-detached house
grattacielo,skyscraper
casa a schiera,terraced house
periferia,outskirts
molto da fare,plenty to do
mezzi pubblici,public transport
piste ciclabili,cycle lanes
cosmopolita,cosmopolitan
multiculturale,multicultural
inquinata,polluted
rumorosa,noisy
stressante,stressante
villaggio,village
campagna,countryside
campi,fields
sobborghi,suburbs
affollata,crowded
frenetica,busy
tranquillo,peaceful
rilassante,relaxing
silenzioso,quiet
sento al sicuro,feel safe
ora di punta,rush hour
di fretta,in a hurry
natura,wildlife
meno servizi,fewer services
